qid,question.en,question.vi,answer.en,answer.vi,url
crawled_087,What animals are a part of the suspension and what animals are not?,Những động vật nào thuộc diện tạm ngừng và những động vật nào không?,"The suspension covers captive live wild mammals, usually small animals, such as civet cats, bamboo rats, raccoon dogs and other small mammals.

This does NOT cover farmed wild animals, fish or seafood of any kind, farmed or domestically raised animals (poultry, beef, pork, sheep, goats etc), sale of slaughtered wild animals or their meat.","Việc đình chỉ áp dụng đối với các loài động vật có vú hoang dã sống bị nuôi nhốt, thường là các loài động vật nhỏ, chẳng hạn như cầy hương, chuột tre, chó gấu trúc và các loài động vật có vú nhỏ khác.

Điều này KHÔNG áp dụng đối với động vật hoang dã được nuôi, cá hoặc hải sản dưới bất kỳ hình thức nào, động vật được nuôi hoặc chăn nuôi trong nước (gia cầm, thịt bò, thịt lợn, cừu, dê, v.v.), việc bán động vật hoang dã đã bị giết mổ hoặc thịt của chúng.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/sale-of-live-wild-mammals-in-traditional-food-markets
crawled_088,How should I wear and clean a fabric mask?,Tôi nên đeo và vệ sinh khẩu trang vải như thế nào?,"How to put on and wear a fabric mask:

• Before touching the mask, clean your hands with an alcohol\-based hand rub or soap and water.
• Inspect the mask for tears or holes, do not use a mask that is damaged.
• Adjust the mask to cover your mouth, nose, and chin, leaving no gaps on the sides.
• Place the straps behind your head or ears. Do not cross the straps because this can cause gaps on the side of your face.
• Avoid touching the mask while wearing it. If you touch it, clean your hands.
• Change your mask if it gets dirty or wet.

How to take off and store a fabric mask:

• Clean your hands before taking off the mask.
• Take off the mask by removing it from the ear loops, without touching the front of the mask.
• If your fabric mask is not dirty or wet and you plan to reuse it, put it in a clean resealable bag. If you need to use it again, hold the mask at the elastic loops when removing it from the bag. Clean your mask once a day.
• Clean your hands after removing the mask.

How to clean a fabric mask:

• Wash fabric masks in soap or detergent and preferably hot water (at least 60 degrees Centigrade/140 degrees Fahrenheit) at least once a day.
• If it is not possible to wash the mask in hot water, then wash it in soap/detergent and room temperature water, followed by boiling the mask for 1 minute.

Watch our ‘How to wear a fabric mask’ video for a demonstration.","Cách đeo và sử dụng khẩu trang vải:

• Trước khi chạm vào khẩu trang, hãy rửa tay bằng dung dịch rửa tay có cồn hoặc xà phòng và nước.
• Kiểm tra khẩu trang xem có rách hoặc lỗ không, không sử dụng khẩu trang bị hỏng.
• Điều chỉnh khẩu trang để che kín miệng, mũi và cằm, không để hở hai bên.
• Đặt dây đeo ra sau đầu hoặc tai. Không đan chéo dây đeo vì điều này có thể gây hở hai bên mặt.
• Tránh chạm vào khẩu trang khi đang đeo. Nếu bạn chạm vào, hãy rửa tay.
• Thay khẩu trang nếu nó bị bẩn hoặc ướt.

Cách tháo và bảo quản khẩu trang vải:

• Rửa tay trước khi tháo khẩu trang.
• Tháo khẩu trang bằng cách gỡ từ dây đeo tai, không chạm vào mặt trước của khẩu trang.
• Nếu khẩu trang vải của bạn không bị bẩn hoặc ướt và bạn dự định tái sử dụng, hãy đặt nó vào túi sạch có thể đóng kín. Nếu cần sử dụng lại, hãy cầm khẩu trang ở dây chun khi lấy ra khỏi túi. Vệ sinh khẩu trang mỗi ngày một lần.
• Rửa tay sau khi tháo khẩu trang.

Cách vệ sinh khẩu trang vải:

• Giặt khẩu trang vải bằng xà phòng hoặc chất tẩy rửa và tốt nhất là nước nóng (ít nhất 60 độ C/140 độ F) ít nhất một lần mỗi ngày.
• Nếu không thể giặt khẩu trang bằng nước nóng, hãy giặt bằng xà phòng/chất tẩy rửa và nước ở nhiệt độ phòng, sau đó đun sôi khẩu trang trong 1 phút.

Xem video 'Cách đeo khẩu trang vải' của chúng tôi để được hướng dẫn.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-masks
crawled_089,How can we protect others and ourselves if we don't know who is infected?,Làm thế nào chúng ta có thể bảo vệ người khác và bản thân nếu chúng ta không biết ai bị nhiễm bệnh?,"You can protect yourself and others from COVID\-19 by following preventive measures, such as keeping a distance, wearing a mask in crowded and poorly ventilated spaces, practicing hand hygiene, respiratory etiquette (covering your mouth and nose with a bent elbow or a tissue when you cough or sneeze), getting vaccinated and staying up to date with booster doses.

Check local advice where you live and work.

Read our public advice page for more information.","Bạn có thể bảo vệ bản thân và người khác khỏi COVID-19 bằng cách tuân thủ các biện pháp phòng ngừa, chẳng hạn như giữ khoảng cách, đeo khẩu trang ở những nơi đông người và không thông thoáng, thực hành vệ sinh tay, phép lịch sự về hô hấp (che miệng và mũi bằng khuỷu tay gập hoặc khăn giấy khi ho hoặc hắt hơi), tiêm vắc-xin và cập nhật các liều tăng cường.

Kiểm tra lời khuyên địa phương nơi bạn sống và làm việc.

Đọc trang tư vấn công cộng của chúng tôi để biết thêm thông tin.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19
crawled_090,What is the protocol when an employee working in a food business becomes ill with COVID\-19?,Quy trình xử lý khi nhân viên làm việc trong ngành kinh doanh thực phẩm bị ốm do COVID-19 là gì?,"Staff who are feeling unwell should not report to work and should seek medical advice. However, in the event that a food worker becomes unwell in the workplace with typical symptoms of COVID\-19, they should be removed to an area away from other people.
If possible, find a room or area where they can be isolated behind a closed door, such as a staff office. If it is possible to open a window, do so for ventilation. Arrangements should be made for the unwell employee to be removed quickly from the
food premise.

The employee who is unwell should follow national guidelines for reporting cases/suspect cases of COVID\-19\. Whilst they wait for medical advice or to be sent home, they should avoid any contact with other employees. They should avoid touching people,
surfaces and objects and be advised to cover their mouth and nose with a disposable tissue when they cough or sneeze and put the tissue in a bag or pocket and then dispose of the tissue in a bin. If they do not have any tissues available, they should
cough and sneeze into the crook of their elbow. If they need to go to the bathroom whilst waiting for medical assistance, they should use a separate bathroom, if available.

All surfaces that the infected employee has come into contact with must be cleaned. Alcohol based sanitizers/surface disinfectants should be used for cleaning purposes. In general, alcohol\-based disinfectants (ethanol, propan\-2\-ol, propan\-1\-ol) have been
shown to significantly reduce infectivity of enveloped viruses like COVID\-19 virus, in concentrations of 70\-80%. Common disinfectants with active ingredients based on quaternary ammonium compounds (QUATS) and chlorine would also have virucidal properties.
All staff should wash their hands thoroughly for 20 seconds with soap and water after any contact with someone who is unwell with symptoms consistent with coronavirus infection.

If an employee is confirmed as a case of COVID\-19 it will be necessary to notify all close contacts of the infected employee so they too can take measures to minimise further risk of spread. WHO definitions of a contact of a COVID\-19 case can be found 
here. Examples of contacts in the food businesses could include any employee who was in face\-to\-face or physical (i. e., touching) contact; any employee who was within 1 meter with the confirmed case; anyone who has cleaned up any bodily fluids
without adequate PPE (e. g. gloves, overalls, protective clothing); employees in the same working team or workgroup as the confirmed case, and any employee living in the same household as a confirmed case.

WHO recommends that contacts be quarantined for 14 days from the last point of exposure to the confirmed case. 22 At a minimum, staff who have had
close contact with the infected employee should be asked to stay at home for 14 days from the last time they had contact with the confirmed case and practice physical distancing. If they become unwell at any time within their 14\-day isolation period
and they test positive for COVID\-19, they will become a confirmed case, and should be managed as such.

Staff who have not had close contact with the original confirmed case should continue taking the usual precautions and attend work as usual. Organising employees into small teams or workgroups will help to minimise disruption to work processes in the event of an employee reporting sick with symptoms of COVID\-19\. Closure of the workplace is not recommended.

More detailed information can be found in COVID\-19 and food safety: guidance for food businesses.

For more information on contacts of COVID\-19 confirmed cases, see WHO guidance on surveillance and case definitions.","Nhân viên cảm thấy không khỏe không nên đi làm và nên tìm kiếm lời khuyên y tế. Tuy nhiên, trong trường hợp một nhân viên làm việc trong ngành thực phẩm cảm thấy không khỏe tại nơi làm việc với các triệu chứng điển hình của COVID-19, họ nên được đưa đến một khu vực cách xa những người khác. Nếu có thể, tìm một phòng hoặc khu vực nơi họ có thể được cách ly sau cánh cửa đóng, chẳng hạn như văn phòng nhân viên. Nếu có thể mở cửa sổ, hãy làm như vậy để thông gió. Cần sắp xếp để nhân viên không khỏe được đưa ra khỏi cơ sở thực phẩm một cách nhanh chóng.

Nhân viên không khỏe nên tuân theo hướng dẫn quốc gia về việc báo cáo các trường hợp/nghi ngờ nhiễm COVID-19. Trong khi chờ đợi lời khuyên y tế hoặc được đưa về nhà, họ nên tránh tiếp xúc với các nhân viên khác. Họ nên tránh chạm vào người, bề mặt và đồ vật và được khuyên che miệng và mũi bằng khăn giấy dùng một lần khi ho hoặc hắt hơi và đặt khăn giấy vào túi hoặc túi áo rồi vứt khăn giấy vào thùng rác. Nếu không có khăn giấy, họ nên ho và hắt hơi vào khuỷu tay. Nếu cần đi vệ sinh trong khi chờ đợi sự trợ giúp y tế, họ nên sử dụng phòng vệ sinh riêng, nếu có.

Tất cả các bề mặt mà nhân viên nhiễm bệnh đã tiếp xúc phải được làm sạch. Nên sử dụng các chất khử trùng/sát khuẩn bề mặt có cồn để làm sạch. Nói chung, các chất khử trùng có cồn (ethanol, propan-2-ol, propan-1-ol) đã được chứng minh là làm giảm đáng kể khả năng lây nhiễm của các virus có vỏ bọc như virus COVID-19, ở nồng độ 70-80%. Các chất khử trùng thông thường với các thành phần hoạt tính dựa trên hợp chất amoni bậc bốn (QUATS) và clo cũng có tính chất diệt virus. Tất cả nhân viên nên rửa tay kỹ lưỡng trong 20 giây với xà phòng và nước sau bất kỳ tiếp xúc nào với người không khỏe có triệu chứng nhiễm coronavirus.

Nếu một nhân viên được xác nhận là trường hợp nhiễm COVID-19, cần thông báo cho tất cả các tiếp xúc gần của nhân viên nhiễm bệnh để họ cũng có thể thực hiện các biện pháp giảm thiểu nguy cơ lây lan thêm. Định nghĩa của WHO về tiếp xúc với trường hợp COVID-19 có thể được tìm thấy ở đây. Ví dụ về các tiếp xúc trong doanh nghiệp thực phẩm có thể bao gồm bất kỳ nhân viên nào đã tiếp xúc mặt đối mặt hoặc tiếp xúc vật lý (tức là chạm vào); bất kỳ nhân viên nào đã ở trong vòng 1 mét với trường hợp được xác nhận; bất kỳ ai đã dọn dẹp bất kỳ chất dịch cơ thể nào mà không có PPE đầy đủ (ví dụ: găng tay, áo khoác bảo hộ, quần áo bảo hộ); nhân viên trong cùng nhóm làm việc hoặc nhóm công tác với trường hợp được xác nhận, và bất kỳ nhân viên nào sống trong cùng hộ gia đình với trường hợp được xác nhận.

WHO khuyến nghị rằng các tiếp xúc nên được cách ly trong 14 ngày kể từ lần tiếp xúc cuối cùng với trường hợp được xác nhận. Tối thiểu, nhân viên đã có tiếp xúc gần với nhân viên nhiễm bệnh nên được yêu cầu ở nhà trong 14 ngày kể từ lần cuối họ tiếp xúc với trường hợp được xác nhận và thực hành giãn cách vật lý. Nếu họ cảm thấy không khỏe bất kỳ lúc nào trong thời gian cách ly 14 ngày của họ và họ xét nghiệm dương tính với COVID-19, họ sẽ trở thành trường hợp được xác nhận và nên được quản lý như vậy.

Nhân viên không có tiếp xúc gần với trường hợp được xác nhận ban đầu nên tiếp tục thực hiện các biện pháp phòng ngừa thông thường và đi làm như bình thường. Tổ chức nhân viên thành các nhóm nhỏ hoặc nhóm công tác sẽ giúp giảm thiểu sự gián đoạn đối với quy trình làm việc trong trường hợp một nhân viên báo cáo bị bệnh với các triệu chứng của COVID-19. Không khuyến khích đóng cửa nơi làm việc.

Thông tin chi tiết hơn có thể được tìm thấy trong COVID-19 và an toàn thực phẩm: hướng dẫn cho các doanh nghiệp thực phẩm.

Để biết thêm thông tin về các tiếp xúc của các trường hợp được xác nhận COVID-19, xem hướng dẫn của WHO về giám sát và định nghĩa trường hợp.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-businesses
crawled_091,I cannot get access to the full list of organisms that are required for NAT assay cross\- reactivity studies. Can WHO source these specimens or conduct testing on our behalf?,Tôi không thể truy cập vào danh sách đầy đủ các sinh vật cần thiết cho nghiên cứu phản ứng chéo của xét nghiệm NAT. WHO có thể cung cấp các mẫu vật này hoặc tiến hành xét nghiệm thay cho chúng tôi được không?,"PQT\-IVD team are not undertaking any laboratory evaluation on manufacturers behalf. However, we understand that some organisms are proving difficult to source in different jurisdictions. As long as manufacturers can demonstrate that they have made adequate attempts to source these specimens, we can accept the testing to be submitted at an agreed later timepoint when the manufacturer can access these specimens. We will review the overall dataset and accept that there might be some small gaps in the dossier where other sections have been addressed completely.","Nhóm PQT-IVD không thực hiện bất kỳ đánh giá phòng thí nghiệm nào thay mặt cho các nhà sản xuất. Tuy nhiên, chúng tôi hiểu rằng một số vi sinh vật đang gặp khó khăn trong việc tìm nguồn cung cấp ở các khu vực pháp lý khác nhau. Miễn là các nhà sản xuất có thể chứng minh rằng họ đã nỗ lực đầy đủ để tìm nguồn cung cấp các mẫu vật này, chúng tôi có thể chấp nhận việc nộp kết quả kiểm tra vào một thời điểm sau đã được thỏa thuận khi nhà sản xuất có thể tiếp cận các mẫu vật này. Chúng tôi sẽ xem xét toàn bộ tập dữ liệu và chấp nhận rằng có thể có một số khoảng trống nhỏ trong hồ sơ khi các phần khác đã được giải quyết hoàn toàn.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/pqt-ivd-questions-and-answers
crawled_092,How can I improve ventilation in a car or vehicle?,Làm thế nào để tôi có thể cải thiện hệ thống thông gió trong ô tô hoặc phương tiện?,"When riding in a car or vehicle open windows whenever possible, the more windows the better. If you are using air conditioning in the vehicle, use the setting that brings in fresh air.","Khi đi xe ô tô hoặc phương tiện, hãy mở cửa sổ bất cứ khi nào có thể, càng nhiều cửa sổ càng tốt. Nếu bạn sử dụng điều hòa không khí trong xe, hãy chọn chế độ lấy không khí tươi từ bên ngoài.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-ventilation-and-air-conditioning
crawled_093,What if my organization does not have the expertise to assess the risks COVID\-19 poses for our planned mass gathering?,Điều gì sẽ xảy ra nếu tổ chức của tôi không có chuyên môn để đánh giá rủi ro COVID-19 gây ra cho sự kiện tập trung đông người đã được lên kế hoạch?,"National and local public health authorities in your country can provide guidance on how to conduct a public health risk assessment. If there is a WHO country office in your country, you may also be able to seek expert guidance.","Các cơ quan y tế công cộng quốc gia và địa phương ở quốc gia của bạn có thể cung cấp hướng dẫn về cách thực hiện đánh giá rủi ro y tế công cộng. Nếu có văn phòng quốc gia của WHO tại quốc gia của bạn, bạn cũng có thể tìm kiếm sự hướng dẫn từ các chuyên gia.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-mass-gatherings
crawled_094,Do pregnant women with suspected or confirmed COVID\-19 need to give birth by caesarean section?,Phụ nữ mang thai nghi ngờ hoặc được xác nhận mắc COVID-19 có cần phải sinh mổ không?,"No. WHO advice is that caesarean sections should only be performed when medically justified.

The mode of birth should be individualized and based on a woman’s preferences alongside obstetric indications.","Không. Khuyến cáo của WHO là chỉ nên thực hiện mổ lấy thai khi có chỉ định y khoa hợp lý.

Phương thức sinh nên được cá nhân hóa và dựa trên sở thích của người phụ nữ cùng với các chỉ định sản khoa.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-pregnancy-and-childbirth
crawled_095,What is quarantine? And how is it different from isolation?,Cách ly là gì? Và nó khác với cách ly như thế nào?,"Quarantine is the separation of contacts from others after exposure to a probable or confirmed COVID\-19 case – you may or may not be infected.

Isolation is the separation of people who are known to be infected with the COVID\-19 virusfrom other who are not infected.  

Both quarantine and isolation help to stop the spread of the virus.","Cách ly là việc tách biệt những người đã tiếp xúc với trường hợp nhiễm hoặc nghi nhiễm COVID-19 khỏi những người khác – bạn có thể bị nhiễm hoặc không.

Cô lập là việc tách biệt những người được xác định là đã nhiễm virus COVID-19 khỏi những người không bị nhiễm.

Cả cách ly và cô lập đều giúp ngăn chặn sự lây lan của virus.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-contact-tracing
crawled_096,Can the virus that causes COVID\-19 live on the surface of food packaging?,Virus gây ra COVID-19 có thể sống trên bề mặt bao bì thực phẩm không?,"Coronaviruses need a live animal or human host to multiply and survive and cannot multiply on the surface of food packages. It is not necessary to disinfect food packaging materials, but hands should be properly washed after handling food packages and before eating (__see question 10 of__ Questions relating to food businesses","Vi-rút corona cần một vật chủ sống là động vật hoặc con người để nhân lên và tồn tại, và không thể nhân lên trên bề mặt của bao bì thực phẩm. Không cần thiết phải khử trùng các vật liệu bao bì thực phẩm, nhưng cần rửa tay đúng cách sau khi xử lý bao bì thực phẩm và trước khi ăn (__xem câu hỏi 10 của__ Các câu hỏi liên quan đến doanh nghiệp thực phẩm).",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-food-safety-and-nutrition
crawled_097,How are countries grouped to determine the age\-sex pattern of excess deaths?,Các quốc gia được nhóm lại như thế nào để xác định mô hình tuổi-giới của số ca tử vong quá mức?,"In order to determine age\-sex patterns of excess deaths, countries are categorized into eight groups using a __K__\-means clustering approach. While a natural grouping would be geographically representative, using some regional identification (e. g., WHO regions), from a practical perspective it is not always possible owing to insufficient availability of empirical data in some countries or regions. Even within close geographic proximity, the impact of the pandemic, and its magnitude by sex and age can vary significantly.  

__K__\-means is a method commonly used to characterize data and partition a data set into groups. Countries are grouped into clusters based on mean ages at death and of population, as well as the overall excess mortality rates and porportion of total deaths. The number of clusters is chosen to maximise the variation between clusters and to minimise the variation within clusters by age and sex. More details on the __K__\-means clustering are provided in the methodology.","Để xác định các mô hình tử vong vượt mức theo độ tuổi và giới tính, các quốc gia được phân loại thành tám nhóm sử dụng phương pháp phân cụm __K__-means. Mặc dù một nhóm tự nhiên sẽ đại diện cho khu vực địa lý, sử dụng một số nhận dạng khu vực (ví dụ: các khu vực của WHO), từ góc độ thực tiễn, điều này không phải lúc nào cũng khả thi do sự thiếu hụt dữ liệu thực nghiệm ở một số quốc gia hoặc khu vực. Ngay cả trong sự gần gũi về địa lý, tác động của đại dịch và mức độ của nó theo giới tính và độ tuổi có thể khác nhau đáng kể.

__K__-means là một phương pháp thường được sử dụng để đặc trưng hóa dữ liệu và phân chia một tập dữ liệu thành các nhóm. Các quốc gia được nhóm thành các cụm dựa trên độ tuổi trung bình khi tử vong và của dân số, cũng như tỷ lệ tử vong vượt mức tổng thể và tỷ lệ tử vong tổng cộng. Số lượng cụm được chọn để tối đa hóa sự biến đổi giữa các cụm và tối thiểu hóa sự biến đổi trong các cụm theo độ tuổi và giới tính. Chi tiết thêm về phân cụm __K__-means được cung cấp trong phần phương pháp luận.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/global-excess-deaths-associated-with-the-COVID-19-pandemic
crawled_098,What can I do to prevent infection?,Tôi có thể làm gì để phòng ngừa nhiễm trùng?,"To prevent infection, there are a five things that you can do.

 

### 1\.  **Wash your hands frequently and thoroughly with soap and water and dry them thoroughly. **

You can also use alcohol\-based hand rub if your hands are not visibly dirty and if this product is available. Cleaning your hands frequently will remove the virus if it is on your hands. You can learn how to wash your hands in this video (or this visual).  If an alcohol\-based hand rub or soap is not available, then using chlorinated water (0\. 05%) for handwashing is an option, but it is not ideal because frequent use may irritate your skin.

 

### 2\.  **Cover your mouth and nose with a flexed elbow or tissue when coughing and sneezing**.

And remember to throw away the used tissue immediately in a bin with a lid and to wash your hands. This way you protect others from any virus released through coughs and sneezes.

 

### 3\.  **Avoid touching your eyes, nose and mouth. **

Hands touch many surfaces which can be contaminated with the virus. If you touch your eyes, nose or mouth with unclean hands, you can transfer the virus from the surface to yourself.

 

### 4\.  **Keep physical distance from others. **

If your national or local authorities have put in place confinement measures, it is important to respect them. Taking exercise outside is good for your physical and mental health, but should only be undertaken if regulations for your area allow it. When you do go out, avoid crowded spaces and maintain at least 1 metre distance (3 feet or arms\-length) from others. Avoid unnecessary visits to your house. If visits are necessary (e. g. caregiver to support with activities of daily living), ask your visitor to regularly check for symptoms to ensure that they are symptom free when visiting you. Ask them to also follow these five key actions, including washing their hands when they first enter your home.  

 

### **5\. Clean and disinfect frequently touched surfaces every day**.

This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, taps, and sinks. If surfaces are dirty, use detergent or soap and water prior to disinfection. Learn more by clicking here.","Để ngăn ngừa nhiễm trùng, có năm điều bạn có thể làm.

### 1\. **Rửa tay thường xuyên và kỹ lưỡng bằng xà phòng và nước, sau đó lau khô tay.**

Bạn cũng có thể sử dụng dung dịch rửa tay có cồn nếu tay bạn không bị bẩn rõ ràng và nếu sản phẩm này có sẵn. Việc rửa tay thường xuyên sẽ loại bỏ virus nếu nó có trên tay bạn. Bạn có thể học cách rửa tay trong video (hoặc hình ảnh) này. Nếu không có dung dịch rửa tay có cồn hoặc xà phòng, thì việc sử dụng nước có chứa clo (0,05%) để rửa tay là một lựa chọn, nhưng không lý tưởng vì sử dụng thường xuyên có thể gây kích ứng da.

### 2\. **Che miệng và mũi bằng khuỷu tay gập hoặc khăn giấy khi ho và hắt hơi.**

Và nhớ vứt ngay khăn giấy đã sử dụng vào thùng rác có nắp và rửa tay. Bằng cách này, bạn bảo vệ người khác khỏi bất kỳ virus nào phát tán qua ho và hắt hơi.

### 3\. **Tránh chạm vào mắt, mũi và miệng.**

Tay chạm vào nhiều bề mặt có thể bị nhiễm virus. Nếu bạn chạm vào mắt, mũi hoặc miệng bằng tay không sạch, bạn có thể truyền virus từ bề mặt vào cơ thể mình.

### 4\. **Giữ khoảng cách vật lý với người khác.**

Nếu chính quyền quốc gia hoặc địa phương của bạn đã áp dụng các biện pháp cách ly, điều quan trọng là phải tuân thủ chúng. Tập thể dục ngoài trời tốt cho sức khỏe thể chất và tinh thần của bạn, nhưng chỉ nên thực hiện nếu quy định khu vực của bạn cho phép. Khi ra ngoài, tránh những nơi đông người và duy trì khoảng cách ít nhất 1 mét (3 feet hoặc chiều dài cánh tay) với người khác. Tránh các chuyến thăm không cần thiết đến nhà bạn. Nếu các chuyến thăm là cần thiết (ví dụ: người chăm sóc hỗ trợ các hoạt động sinh hoạt hàng ngày), hãy yêu cầu người đến thăm thường xuyên kiểm tra triệu chứng để đảm bảo họ không có triệu chứng khi đến thăm bạn. Yêu cầu họ cũng tuân thủ năm hành động chính này, bao gồm rửa tay khi họ vào nhà bạn.

### 5\. **Làm sạch và khử trùng các bề mặt thường xuyên chạm vào hàng ngày.**

Điều này bao gồm bàn, tay nắm cửa, công tắc đèn, mặt bàn, tay cầm, bàn làm việc, điện thoại, bàn phím, nhà vệ sinh, vòi nước và bồn rửa. Nếu bề mặt bẩn, hãy sử dụng chất tẩy rửa hoặc xà phòng và nước trước khi khử trùng. Tìm hiểu thêm bằng cách nhấp vào đây.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-risks-and-safety-for-older-people
crawled_099,Can I still get COVID\-19 after I have been vaccinated?,Tôi vẫn có thể bị COVID-19 sau khi đã được tiêm phòng không?,"Yes. While COVID\-19 vaccines are highly effective against serious disease and death, no vaccine is 100% effective.

Vaccinated people can get infected and may fall ill with COVID\-19\. This is known as a ‘breakthrough infection’ or ‘breakthrough case’. Breakthrough infections can happen with any vaccine and do not mean that the vaccine does not work.

People who get COVID\-19 after being vaccinated are much more likely to only experience mild symptoms as effectiveness against serious illness and death remains high. Vaccine effectiveness wanes over time, so it’s important to stay updated with your shots as recommended by your health care provider.","Có. Mặc dù vắc-xin COVID-19 rất hiệu quả trong việc chống lại bệnh nặng và tử vong, nhưng không có vắc-xin nào đạt hiệu quả 100%.

Những người đã tiêm vắc-xin vẫn có thể bị nhiễm và có thể mắc bệnh COVID-19. Đây được gọi là ""nhiễm trùng đột phá"" hoặc ""trường hợp đột phá"". Nhiễm trùng đột phá có thể xảy ra với bất kỳ loại vắc-xin nào và không có nghĩa là vắc-xin không có tác dụng.

Những người mắc COVID-19 sau khi đã tiêm vắc-xin có khả năng cao chỉ trải qua các triệu chứng nhẹ vì hiệu quả chống lại bệnh nặng và tử vong vẫn cao. Hiệu quả của vắc-xin giảm dần theo thời gian, vì vậy điều quan trọng là phải cập nhật các mũi tiêm theo khuyến cáo của nhà cung cấp dịch vụ y tế của bạn.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines
crawled_100,"2\. What is the difference between variants under monitoring, variants of interest, and variants of concern?","Sự khác nhau giữa các biến thể đang được theo dõi, các biến thể đáng quan tâm và các biến thể đáng lo ngại là gì?","A Variant Under Monitoring (VUM) is a term used to signal to public health authorities that a SARS\-CoV\-2 variant may require prioritized attention and monitoring. The main objective of this category is to investigate if this variant (and others closely related to it) may pose an additional threat to global public health as compared to other circulating variants.

the WHO variant tracking website. A Variant of Interest (VOI) is a term used to describe a SARS\-CoV\-2 variant with changes that are known to affect how the virus behaves or its potential impact on human health. This can include, for example, its ability to spread, its ability to cause serious disease, or how easily it may be detected or treated. A VOI may also be identified because it has an increased ability to spread when compared with other circulating variants, suggesting a potential emerging risk to global public health.

A Variant of Concern (VOC) is a term that describes a SARS\-CoV\-2 variant that meets the definition of a VOI (see above), but also meets at least one of the following criteria when compared with other variants:

• it can cause a detrimental change in disease severity
• it can have a substantial impact on the ability of health systems to provide care to patients with COVID\-19 or other illnesses and therefore require major public health interventions.
• there is a significant decrease in the effectiveness of available vaccines in protecting against severe disease.

For more information on SARS\-COV\-2 variants, please visit the WHO variant tracking website.","Biến thể đang được giám sát (VUM) là một thuật ngữ được sử dụng để thông báo cho các cơ quan y tế công cộng rằng một biến thể SARS-CoV-2 có thể cần được ưu tiên chú ý và giám sát. Mục tiêu chính của danh mục này là điều tra xem liệu biến thể này (và các biến thể có liên quan chặt chẽ khác) có thể gây ra mối đe dọa bổ sung cho sức khỏe cộng đồng toàn cầu so với các biến thể đang lưu hành khác hay không.

Biến thể đáng quan tâm (VOI) là một thuật ngữ được sử dụng để mô tả một biến thể SARS-CoV-2 có những thay đổi được biết là ảnh hưởng đến cách thức hoạt động của virus hoặc tác động tiềm tàng của nó đối với sức khỏe con người. Điều này có thể bao gồm, ví dụ, khả năng lây lan, khả năng gây bệnh nghiêm trọng, hoặc mức độ dễ dàng mà nó có thể được phát hiện hoặc điều trị. Một VOI cũng có thể được xác định vì nó có khả năng lây lan tăng lên so với các biến thể đang lưu hành khác, cho thấy một nguy cơ tiềm tàng mới nổi đối với sức khỏe cộng đồng toàn cầu.

Biến thể đáng lo ngại (VOC) là một thuật ngữ mô tả một biến thể SARS-CoV-2 đáp ứng định nghĩa của một VOI (xem ở trên), nhưng cũng đáp ứng ít nhất một trong các tiêu chí sau khi so sánh với các biến thể khác:

• nó có thể gây ra sự thay đổi có hại trong mức độ nghiêm trọng của bệnh
• nó có thể có tác động đáng kể đến khả năng của hệ thống y tế trong việc cung cấp chăm sóc cho bệnh nhân COVID-19 hoặc các bệnh khác và do đó cần có các can thiệp y tế công cộng lớn.
• có sự giảm đáng kể trong hiệu quả của các vắc-xin hiện có trong việc bảo vệ chống lại bệnh nặng.

Để biết thêm thông tin về các biến thể SARS-CoV-2, vui lòng truy cập trang web theo dõi biến thể của WHO.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-variants-of-sars-cov-2
